,epoch,loss
0,1,462113856.0
1,1,332786112.0
2,1,156441504.0
3,1,98539208.0
4,1,56831280.0
5,1,37871448.0
6,1,12513620.0
7,1,2195560.75
8,1,453961.78125
9,1,204310.953125
10,1,211304.453125
11,1,213637.5
12,1,229468.578125
13,1,198702.59375
14,1,178204.78125
15,1,181011.546875
16,1,169112.671875
17,1,137926.46875
18,1,141194.75
19,1,152841.96875
20,1,133638.28125
21,1,127671.6796875
22,1,127444.296875
23,1,127573.1484375
24,1,97395.34375
25,1,109209.359375
26,1,94803.2890625
27,1,86611.109375
28,1,72113.375
29,1,93591.8125
30,1,156921.296875
31,1,96572.3046875
32,1,94032.3984375
33,1,145357.71875
34,1,70016.2109375
35,1,51617.46484375
36,1,43272.796875
37,1,52040.53515625
38,1,44552.234375
39,1,40530.8046875
40,1,35998.328125
41,1,30996.423828125
42,1,26807.734375
43,1,15942.5400390625
44,1,22797.5703125
45,1,16903.203125
46,1,17843.39453125
47,1,16812.501953125
48,1,16979.666015625
49,1,13219.658203125
50,1,8381.95703125
51,1,5537.99853515625
52,1,10867.220703125
53,1,29367.28515625
54,1,32834.14453125
55,1,7942.146484375
56,1,3226.375
57,1,5633.755859375
58,1,2894.4248046875
59,1,1759.4208984375
60,1,2112.62353515625
61,1,3639.368408203125
62,1,1165.5220947265625
63,1,4096.57275390625
64,1,3155.40771484375
65,1,1061.130859375
66,1,1440.592041015625
67,1,1714.748291015625
68,1,3875.3349609375
69,1,4781.2275390625
70,1,1485.9697265625
71,1,949.503173828125
72,1,545.2567749023438
73,1,2433.656005859375
74,1,700.2315673828125
75,1,1370.34033203125
76,1,1409.5980224609375
77,1,2143.58544921875
78,1,1196.5546875
79,1,246.72439575195312
80,1,1608.6053466796875
81,1,505.0123291015625
82,1,269.8873291015625
83,1,283.4504699707031
84,1,2445.38134765625
85,1,1997.4739990234375
86,1,632.6077880859375
87,1,891.52001953125
88,1,2943.32861328125
89,1,2039.1424560546875
90,1,559.2245483398438
91,1,1740.6083984375
92,1,4464.369140625
93,1,3887.997802734375
94,1,1296.66064453125
95,1,687.02978515625
96,1,1972.254150390625
97,1,2412.00244140625
98,1,444.79852294921875
99,1,268.61614990234375
100,1,948.4925537109375
101,1,704.16650390625
102,1,523.3575439453125
103,1,4004.95166015625
104,1,3908.6708984375
105,1,4935.50634765625
106,1,625.6737060546875
107,1,433.67376708984375
