,Unnamed: 0,epoch,loss
0,0.0,1,120663.9765625
1,1.0,1,125306.84375
2,2.0,1,124427.359375
3,3.0,1,122927.90625
4,4.0,1,116632.609375
5,5.0,1,128999.484375
6,6.0,1,133852.5
7,7.0,1,130634.421875
8,8.0,1,123117.6953125
9,9.0,1,110157.4140625
10,10.0,1,133728.78125
11,11.0,1,114875.5625
12,12.0,1,134000.9375
13,13.0,1,110883.265625
14,14.0,1,117867.40625
15,15.0,1,113734.453125
16,16.0,1,101109.703125
17,17.0,1,107901.34375
18,18.0,1,109699.921875
19,19.0,1,127979.9609375
20,20.0,1,114835.875
21,21.0,1,106244.234375
22,22.0,1,114405.0625
23,23.0,1,122009.0
24,24.0,1,110100.796875
25,25.0,1,116417.359375
26,26.0,1,115846.09375
27,27.0,1,91242.1953125
28,28.0,1,116799.5
29,29.0,1,93914.4140625
30,30.0,1,118290.953125
31,31.0,1,104678.6953125
32,32.0,1,97275.09375
33,33.0,1,93410.984375
34,34.0,1,84923.78125
35,35.0,1,73529.453125
36,36.0,1,106554.9375
37,37.0,1,75307.2734375
38,38.0,1,84559.09375
39,39.0,1,73651.34375
40,40.0,1,85243.90625
41,41.0,1,81099.2890625
42,42.0,1,69414.046875
43,43.0,1,67516.734375
44,44.0,1,73200.234375
45,45.0,1,65934.8671875
46,46.0,1,65002.421875
47,47.0,1,63915.9296875
48,48.0,1,61905.5703125
49,49.0,1,53642.4140625
50,50.0,1,43869.140625
51,51.0,1,41052.26171875
52,52.0,1,40128.98046875
53,53.0,1,39944.921875
54,54.0,1,41364.015625
55,55.0,1,34783.2578125
56,56.0,1,20509.59765625
57,57.0,1,22018.751953125
58,58.0,1,23764.57421875
59,59.0,1,18856.859375
60,60.0,1,19930.841796875
61,61.0,1,14752.693359375
62,62.0,1,14601.8427734375
63,63.0,1,11503.408203125
64,64.0,1,8396.744140625
65,65.0,1,4923.3701171875
66,66.0,1,7773.95166015625
67,67.0,1,4653.677734375
68,68.0,1,7739.8896484375
69,69.0,1,7700.3828125
70,70.0,1,6494.697265625
71,71.0,1,8199.150390625
72,72.0,1,8659.53125
73,73.0,1,11678.7080078125
